Sample,DDIT4L,SOX11,GRB14,SLFN12,PIM1,CD55,FOXE1,PITX2,ALX1,CHI3L1,ZFPM2,TBX15,EN1,RBP4,FIBIN,FPR1,EMX2OS,FBXO32,EMX2,PBX1,LYN,COBLL1,C8orf34,KCTD16,HDAC9,SH3RF1,SCN9A,EPHA5,NLRC3,RBM24,MAN2A1,TNFRSF11B,FGD4
GSM954279,8.8187357536375,9.271449953739584,7.418995590734375,7.320331282125,11.444083468416666,9.791617404645834,9.879091617664583,12.1138303409375,7.8740786235958335,13.474889042770833,8.77235645278125,9.309319163270834,8.159142480723558,12.130403529385417,8.952835462866478,9.247677976479167,10.918656282914583,11.125691538729166,10.04850799946875,8.383262985935607,9.444787960994791,10.203401952800595,7.093615943842347,7.44506775175,6.1346063731875,11.8018782046875,7.674167250510417,7.1972202091875,5.9823155473125,6.977999970234375,9.618983066083333,14.135335438965908,8.865406147991667
GSM954280,7.85343289001875,9.490361318527084,7.5465221511875,7.090689590130208,10.557385843458333,9.890299633418751,10.733132096145834,12.036904026992046,7.301083029322917,13.2970219975625,8.64200917965625,9.116957463382812,8.40594492346875,10.648431637202977,8.987681869354168,9.0993410670625,9.69334136734375,11.5336882933125,9.061302815827272,9.081728775733902,9.74981351131269,11.177875880916666,7.174277001442188,8.303186520315625,6.451369427859375,12.096769421520833,8.451851877208334,8.563777327735417,5.984503881625,7.174277001442188,10.198004184411458,15.05583086241856,10.065841075389583
GSM954281,7.839713526270833,7.46854195965625,7.39996405909375,7.524064117110417,9.517813525021875,9.892809945651042,9.171286663298295,12.94255726223512,7.620437938366761,13.745147257625,7.711697434322916,9.00098945203125,8.3498047409375,10.3226039288125,8.8250191223125,9.491548547885417,11.330904788325757,12.42010230165625,10.132245093477083,8.690675886126042,9.972141830994047,10.925980852989584,7.136153425984375,7.339522084082292,6.8097639567375,12.383197488375,7.920539182177083,8.91796305812013,6.182655939875,8.185280991286458,9.312732679453125,16.378707858104168,8.487819449190624
GSM954282,7.779368962416667,9.198714809297917,7.81057499796875,7.3944385172416665,10.7249034871875,9.62860249439882,7.955053634625,12.66807978,7.87915537382532,12.702211927954545,8.338359439546874,9.312545361453125,8.027073085453125,10.65919776345,8.719557739552084,9.239065035531251,11.344520483654762,10.93057332775,10.3774470785625,8.428094857420929,8.874040202884375,10.4049750690625,7.307978256786932,7.6184174155625,6.155050615420536,12.054281658083333,7.786241801885416,7.873729061932291,6.370424294822916,7.602139870385416,8.53806740334375,14.184444246388889,8.367463977779167
GSM954283,7.401797268302083,8.356808923592235,7.1772999772864585,7.6262946646875,10.417916948067708,9.2760082045875,8.273405658483334,13.573684606458333,8.406386303184375,15.703395320520833,8.454460934833333,10.083278011395834,8.594688812322916,9.8310207185,8.244452318765152,9.378876020547917,11.6308945,11.2306610238125,10.65702253953125,8.1649611611875,9.3371686694125,10.605098875333333,7.046785050567235,7.8579199315937505,6.219262580917708,12.4324451521875,7.526785146473959,6.6745920190625,6.205734501317708,7.41794036755,9.228995472528977,14.854798249,7.869667760270834
GSM954284,7.969986099925,7.410916779302084,8.0934442243625,7.259251620439583,9.8725809305125,10.297779093414773,11.3031532449375,12.7381175725,7.602341016710938,15.7652764165625,8.354582432328124,9.620768668459895,8.286527324241668,10.834923714323864,9.155719640848439,9.99633427655625,10.7040664328125,11.781243176458332,9.88007051565625,8.698844589866667,9.932448417582291,11.607535262286458,7.567832998455966,8.883835296914583,6.52026761021875,12.5721952750625,8.519299114739583,8.973138856452083,6.172252184914063,6.9262702252656245,9.733954916395833,16.72608078475,9.011813834622917
GSM954285,8.68004932469375,7.795914229765625,7.530725898064205,7.3070378183999996,10.18033965959375,9.72669675055625,7.411232184270833,12.546439184375,7.36451009646875,15.42407970221875,7.22546255153125,9.53005312391302,7.967023617359375,13.470140823291667,8.7239515696875,9.930396548984374,10.715982063166667,12.9827237226875,9.682163491128605,9.349360591909376,10.383589470238636,10.954021982916666,7.045126659901043,7.91873359190625,6.494619363309375,12.323107544114585,7.883493596208333,8.484418862689022,6.1585723466875,8.0486210064375,9.554666073776042,15.616151581083333,9.848074178019319
GSM954286,8.3709406489375,9.782066380986459,7.659017789463542,7.204987323804167,10.343594383360417,8.739944381203125,7.884921951546875,11.834190404085701,7.306910981608854,14.83902912701894,8.83461750359375,9.46078880815625,7.6813184365056815,12.430327232921876,8.631021876617709,9.171637634028409,10.47640256828125,11.00639618984659,9.739947578364584,9.149581664959374,9.60232274086875,9.788488597440342,6.865620681645833,7.140759159177083,6.39725538071875,12.282673084312501,7.17574311921875,7.3162244159545455,6.2667564564370535,7.371821622477746,10.012612180875,14.022313128130682,9.990014700398675
GSM954287,6.3327169141874995,6.543118386676136,8.891770160114584,7.720845672595834,9.51602233732055,8.454460934833333,7.457070091595833,7.8905151632604165,6.338778954734375,10.174223196084375,6.12933567296875,10.48047918508125,7.456164579739584,7.416387839697917,6.914972821908333,7.9114877498125,9.29459467728125,8.159142480723558,9.044457729885416,7.513599959349432,8.389179320734375,10.792221337868371,6.8777572722125,7.2084448667031245,6.3316919916875,12.327767746624998,6.923578158135417,6.522662294520833,6.275643749489583,7.398870137843749,9.235266777578525,12.221530339536459,8.90442005128125
GSM954288,6.242018126427084,6.144095232114584,8.398053117536932,7.66963045138125,9.288092560928977,8.602922112921874,8.046435011078126,8.717261367540774,6.304129821032812,9.995336064239583,6.417344954442709,11.101412548677084,7.353922727619792,7.166356188895834,7.691404650713541,7.7653327928729166,9.271305427992708,10.293983564302083,8.79255394675521,7.716521455244791,8.49371853320625,11.9564488231875,6.973714470784091,8.292319486223958,6.508393435359375,12.071821868062498,8.17684390632661,7.566300513348958,6.039082468416667,7.920539182177083,9.708716445237501,14.7217714019375,9.207182470875
