"","GroupEdad","n","Mean","SD","Min","Max"
"1","Young",8,0.00819418323893003,0.0160733929845425,-0.0189035276399232,0.0363437607574902
"2","Old",8,-0.00819418323892994,0.0481809996689939,-0.0645246052461999,0.0872222318427187
