"","GroupPassage","n","Mean","SD","Min","Max"
"1","Early",6,-0.0328983188304265,0.0287530485578759,-0.0642524269403949,0.0129756624916156
"2","Mid",11,-0.000567145181889534,0.0305617179006621,-0.0547632863188328,0.0538840483792263
"3","Late",6,0.0339380849972239,0.025676274247852,0.00102488274271564,0.0645543534776447
