"Gene","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"C8orf34",2.57175260654352,8.0516875582916,13.6143998350234,3.39335403866484e-09,3.17482203857482e-05,10.8402647379685
"SH3RF1",1.18152379824833,10.259401351232,11.2461292084123,3.56905964826722e-08,0.000166960610345941,8.91095604482781
"KCTD16",2.23127733692216,7.24578145376154,10.1847406928366,1.17450276339431e-07,0.000366288261810573,7.8799237129906
"MAN2A1",1.60650634685792,11.3005105169497,9.88265016910895,1.67850688770435e-07,0.000392602761034048,7.56463759067536
"CD55",1.69022806471408,9.50779897399245,9.40135401912906,3.01817262977114e-07,0.000489104279763604,7.04080580303316
"RBM24",2.41021412419421,8.89150614545652,9.37041498711178,3.13662428236599e-07,0.000489104279763604,7.0061988264227
"TNFRSF11B",1.84089723536974,10.9905290626096,9.14771716193516,4.14995501096422e-07,0.000513487913864361,6.75367546115275
"CPED1",1.35420430893831,10.016755267872,8.56038539945193,8.90306368113814e-07,0.000832970638007284,6.05790468326232
"NTN4",1.86034593995742,12.5535685213502,8.51929103339038,1.04790336721698e-06,0.000891289445789281,5.9117216800235
"PYCARD",-1.92994313718733,8.51544597676848,-8.24233717566373,1.36750328962733e-06,0.00102309074195664,5.66234547524555
"NDFIP2",1.18762392685378,9.32733798361523,8.06311234080024,1.75059482559047e-06,0.00109190434588163,5.43340019075664
"DNAJB4",1.17784539801401,10.5146132193338,7.92114935357053,2.13456986317211e-06,0.0012312891049912,5.24889598241359
"MID1",-1.12288243551895,11.467367397499,-7.88775973382132,2.23727178119394e-06,0.0012312891049912,5.20509052357213
"PKD2",1.29125224900728,11.6377002205944,7.67323338536046,3.03557693644354e-06,0.00138738474075009,4.91987171002915
"PHACTR2",1.22533759556518,10.2406111493593,7.67308483165763,3.03622435663681e-06,0.00138738474075009,4.91967192532001
"TEK",1.59112155875823,8.15838291126321,7.62315521743254,3.26234120313189e-06,0.00138738474075009,4.85234328978266
"SERPINB2",4.85508372679381,9.60549577165533,7.51576959849771,4.76831634098706e-06,0.001784494707451,4.51133589732738
"CCND1",1.57709890030047,12.1690194764123,7.3308362988998,5.14910209920671e-06,0.00185288458616069,4.42521443898099
"SLC31A2",1.23743879259213,9.64843278623002,7.24032157788131,5.71782325416589e-06,0.0019813316431843,4.32402977173041
"TMEM200A",1.06301092740175,12.9316592227681,7.02945483785339,7.85135993901009e-06,0.00237971387034696,4.02375656440748
"KRT14",3.74690069523439,9.49084411912418,7.16492929747842,7.8849005964895e-06,0.00237971387034696,4.03722336117437
"ARSB",1.0450932575099,7.81577251285176,6.84814696842854,1.036048517823e-05,0.00278161450837113,3.76021356905445
"RDH10",1.73694504730097,7.88432600087288,6.82533133759091,1.0731731274066e-05,0.00278161450837113,3.72669553664007
"NDNF",-2.38062035743813,8.68538126751493,-6.87724086513991,1.09642951762505e-05,0.00278161450837113,3.71581277047006
"FJX1",1.18750500027087,9.13156034290918,6.74221214037858,1.2207510343171e-05,0.00278161450837113,3.60391404499836
"SOX11",-3.76901377994306,5.82534898731766,-6.77663544528981,1.26223219426208e-05,0.00278161450837113,3.58054476479352
"EMP2",-1.41087226776711,9.14655149548938,-6.70845497333964,1.28667244299094e-05,0.00278161450837113,3.5537468341729
"HSPB8",1.09647463541433,9.18184312753385,6.69784693656277,1.30815560462088e-05,0.00278161450837113,3.53794592350449
"MYOCD",2.15668233364352,6.98024753065951,6.53326085663475,1.69466032039537e-05,0.00337345573566364,3.29057402652874
"DYNC1I1",1.23947231756996,8.76419361847804,6.51676548099372,1.73955517065146e-05,0.00339068295346147,3.26555138941627
"PIM1",-1.19588167765225,8.29291321947492,-6.4809908277531,1.84128563130133e-05,0.00351572823805208,3.21113866648588
"ATP8B1",1.15812864337948,11.2317466442411,6.46475775733621,1.88949751470896e-05,0.00353562774952341,3.18638316750713
"NTF3",3.37236441898081,7.74824842516407,6.51668430689848,2.08259091556638e-05,0.00381120079249365,3.11278971825979
"IRS1",-1.00126914034812,8.55974287529619,-6.25540968021887,2.64556267208058e-05,0.00448828542608932,2.86347126324964
"NUDT11",-1.09467050472881,8.73499468021583,-6.20826235997331,2.85627119940236e-05,0.00467791627554642,2.78981120062911
"C6orf132",1.25307784529463,6.92841309657393,6.18945139783128,2.94520427961166e-05,0.00467791627554642,2.76032593748989
"CFH",1.15668864603623,10.1363378818176,6.13805294868215,3.20337784562454e-05,0.00475160162002094,2.67948169729043
"CCDC8",-1.62065782782863,7.6495301267275,-6.03509855070847,3.79476199884727e-05,0.00529907362107688,2.5163145768804
"LHFPL2",1.25825559359552,11.0235098400155,6.02052045409383,3.88735774243703e-05,0.00530498275897851,2.4930779044026
"MFAP5",1.88578199163395,12.2363710303435,6.10337721965014,3.92547198335648e-05,0.00530498275897851,2.50220096633889
"MANSC1",1.42659051804528,8.97277278798894,6.00573613075986,3.98369156035107e-05,0.00530498275897851,2.46947895509545
"ZNF365",1.87869128994282,7.66294529763776,5.81161745506038,5.59800668188805e-05,0.00655192204768706,2.14327993868492
"OSTM1",1.24240127080402,9.54541586803951,5.80168249023573,5.6023275311561e-05,0.00655192204768706,2.14032188458226
"TGFB1I1",-1.14122082390703,11.2782629780012,-5.73570390360229,6.26308960636764e-05,0.00696784230336222,2.03252412252838
"BRINP1",-2.21987675632773,6.30832607018982,-5.71569143643283,6.47928901659377e-05,0.00696784230336222,1.99969570341202
"NDN",-2.44285047374936,11.0052545803137,-5.78267657659419,6.70036704728396e-05,0.0070436667521785,1.98797301000587
