"Gene","Direccion","logFC_Edad","logFC_Rep","FDR_Edad","FDR_Rep"
"EMX2OS","Down en ambos",-3.58216558994336,-1.26417448205808,0.00459877295027911,0.0331791673050434
"SOX11","Down en ambos",-1.85076469088867,-3.76901377994306,0.0198422980097028,0.00278161450837113
"DDIT4L","Down en ambos",-1.69515642436523,-1.49072634594248,0.00234262489449651,0.014307551153078
